iter	Logloss
0	0.4704850151
1	0.3650144269
2	0.309909726
3	0.2776880898
4	0.2594893915
5	0.2436895658
6	0.2324432434
7	0.224392575
8	0.2173038315
9	0.2101298269
10	0.2062214539
11	0.2019218639
12	0.1987692512
13	0.1961727758
14	0.1926686834
15	0.1892868364
16	0.1879330187
17	0.1862948175
18	0.1851653661
19	0.1842666218
20	0.1816719092
21	0.1803125389
22	0.1793212305
23	0.1787352041
24	0.1780878069
25	0.1766396716
26	0.1757839651
27	0.1752057003
28	0.1748905236
29	0.174296527
30	0.1736819792
31	0.1733044211
32	0.1731238347
33	0.1725111306
34	0.1720873792
35	0.171345427
36	0.171131989
37	0.1698836844
38	0.1695179296
39	0.1693548408
40	0.1689183894
41	0.1683587317
42	0.1675019976
43	0.1671967932
44	0.1669247354
45	0.1666579558
46	0.1655792631
47	0.1647203927
48	0.1645672695
49	0.164159715
50	0.1639751128
51	0.1638542582
52	0.1637732993
53	0.1636968151
54	0.1636360588
55	0.1635658405
56	0.1635000345
57	0.1634173604
58	0.1633330586
59	0.1629520275
60	0.1624396394
61	0.1622799707
62	0.1622095184
63	0.1621386779
64	0.1619034424
65	0.1618605529
66	0.1613135466
67	0.1612627843
68	0.1610494252
69	0.160738451
70	0.1607069638
71	0.1606230934
72	0.1605842026
73	0.1603561253
74	0.1603019884
75	0.1602682885
76	0.1602139764
77	0.1601781408
78	0.160127929
79	0.1600715754
80	0.1600249035
81	0.1599581338
82	0.1599121686
83	0.1597854918
84	0.1596941862
85	0.1596474694
86	0.1596077459
87	0.1595829467
88	0.1595507536
89	0.1594978601
90	0.1594558619
91	0.1594271188
92	0.1591799218
93	0.1591524735
94	0.1590282553
95	0.1589972193
96	0.1589730199
97	0.1589237966
98	0.1588691394
99	0.158781134
100	0.1587504394
101	0.158629481
102	0.1585957883
103	0.1585072808
104	0.158465968
105	0.1583917747
106	0.1583605671
107	0.15832588
108	0.1582035063
109	0.1581368373
110	0.1580443646
111	0.1578366269
112	0.1577936248
113	0.1576399825
114	0.1576154395
115	0.1575725819
116	0.1575422952
117	0.1575140731
118	0.1574843559
119	0.1573112953
120	0.1572775164
121	0.157243721
122	0.1571291217
123	0.1568876943
124	0.1568100448
125	0.156776603
126	0.1567461665
127	0.1566661116
128	0.1566310541
129	0.1564962967
130	0.1564699267
131	0.1564261785
132	0.1563929221
133	0.156350204
134	0.1563199379
